sql_stmt_seq,conflict_or_where_key,source_csv_row
230,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row231 PRD_000266→QTY_UNIT.01
231,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row232 PRD_000267→QTY_UNIT.01
232,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row233 PRD_000268→QTY_UNIT.01
233,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row234 PRD_000269→QTY_UNIT.01
234,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row235 PRD_000270→QTY_UNIT.01
235,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row236 PRD_000271→QTY_UNIT.01
236,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row237 PRD_000272→QTY_UNIT.01
237,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row238 PRD_000273→QTY_UNIT.01
238,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row239 PRD_000274→QTY_UNIT.01
239,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row240 PRD_000275→QTY_UNIT.01
240,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row241 PRD_000276→QTY_UNIT.01
241,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row242 PRD_000277→QTY_UNIT.01
242,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row243 PRD_000278→QTY_UNIT.01
243,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row244 PRD_000279→QTY_UNIT.01
244,UPDATE WHERE prd_cd[+key],qtyunit_update.csv:row245 PRD_000280→QTY_UNIT.01
245,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row2 PRD_000146→Y
246,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row3 PRD_000147→Y
247,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row4 PRD_000148→Y
248,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row5 PRD_000149→Y
249,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row6 PRD_000150→Y
250,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row7 PRD_000151→Y
251,UPDATE WHERE prd_cd[+key],nonspec_update.csv:row8 PRD_000152→Y
