prd_cd,siz_cd,siz_nm,min_qty,max_qty,qty_incr,dflt_yn
PRD_000033,SIZ_000133,86x52mm,,,,Y
PRD_000034,SIZ_000008,90x50mm,,,,Y
PRD_000035,SIZ_000008,90x50mm,,,,Y
PRD_000036,SIZ_000011,50x50,,,,Y
PRD_000037,SIZ_000008,90x50mm,,,,Y
PRD_000038,SIZ_000008,90x50mm,,,,Y
PRD_000039,SIZ_000008,90x50mm,,,,Y
PRD_000040,SIZ_000008,90x50mm,,,,Y
PRD_000041,SIZ_000013,148x68,,,,Y
PRD_000041,SIZ_000014,148x75,10,10000,10,Y
PRD_000042,SIZ_000013,148x68,,,,Y
PRD_000042,SIZ_000014,148x75,10,10000,10,Y
PRD_000043,SIZ_000033,76x100,,,,Y
PRD_000043,SIZ_000034,76x120,,,,Y
PRD_000043,SIZ_000035,86x120,,,,Y
PRD_000043,SIZ_000036,94x94,,,,Y
PRD_000043,SIZ_000037,62x180,,,,Y
PRD_000043,SIZ_000038,105x160,,,,Y
PRD_000044,SIZ_000039,74x74,,,,Y
PRD_000044,SIZ_000041,74x109,,,,Y
PRD_000045,SIZ_000043,80x80,,,,Y
PRD_000045,SIZ_000044,110x80,,,,Y
PRD_000045,SIZ_000045,140x80,,,,Y
PRD_000045,SIZ_000046,160x80,,,,Y
PRD_000046,SIZ_000011,50x50,,,,Y
PRD_000046,SIZ_000047,40x80,,,,Y
PRD_000046,SIZ_000048,25x110,,,,Y
PRD_000047,SIZ_000170,A5(148x210mm),,,,Y
PRD_000047,SIZ_000172,A4(210x297mm),,,,Y
PRD_000047,SIZ_000174,A3(297x420mm),,,,Y
PRD_000047,SIZ_000176,A3+(300x440mm),,,,Y
PRD_000049,SIZ_000055,640x297,,,,Y
PRD_000050,SIZ_000191,225x193,,,,Y
PRD_000050,SIZ_000192,238x262,,,,N
PRD_000050,SIZ_000193,262x238,,,,N
PRD_000050,SIZ_000194,510x387,,,,N
PRD_000051,SIZ_000195,313x400,,,,Y
PRD_000052,SIZ_000057,A6 (105X148),,,,N
PRD_000052,SIZ_000170,A5(148x210mm),4,10000,4,Y
PRD_000052,SIZ_000520,A4(210x297mm) 반칼,2,10000,2,N
PRD_000053,SIZ_000057,A6 (105X148),,,,Y
PRD_000053,SIZ_000170,A5(148x210mm),4,10000,4,Y
PRD_000053,SIZ_000520,A4(210x297mm) 반칼,2,10000,2,N
PRD_000054,SIZ_000170,A5(148x210mm),4,10000,4,Y
PRD_000054,SIZ_000520,A4(210x297mm) 반칼,2,10000,2,Y
PRD_000055,SIZ_000172,A4(210x297mm),,,,Y
PRD_000055,SIZ_000174,A3(297x420mm),,,,N
PRD_000055,SIZ_000197,A2(420x594mm),,,,N
PRD_000056,SIZ_000172,A4(210x297mm),,,,Y
PRD_000056,SIZ_000174,A3(297x420mm),,,,Y
PRD_000056,SIZ_000197,A2(420x594mm),,,,Y
PRD_000056,SIZ_000514,B3 (364X515),,,,N
PRD_000056,SIZ_000515,B4 (257X364),,,,N
PRD_000057,SIZ_000199,400x600,,,,Y
PRD_000058,SIZ_000170,A5(148x210mm),,,,Y
PRD_000058,SIZ_000520,A4(210x297mm) 반칼,2,10000,2,N
PRD_000059,SIZ_000170,A5(148x210mm),,,,Y
PRD_000059,SIZ_000520,A4(210x297mm) 반칼,2,10000,2,Y
PRD_000060,SIZ_000170,A5(148x210mm),,,,Y
PRD_000060,SIZ_000520,A4(210x297mm) 반칼,2,10000,2,Y
PRD_000061,SIZ_000170,A5(148x210mm),,,,Y
PRD_000061,SIZ_000520,A4(210x297mm) 반칼,2,10000,2,Y
PRD_000062,SIZ_000058,100x140,,,,N
PRD_000062,SIZ_000059,124x186,4,10000,4,Y
PRD_000062,SIZ_000060,90x190,6,10000,6,Y
PRD_000063,SIZ_000059,124x186,4,10000,4,Y
PRD_000063,SIZ_000060,90x190,6,10000,6,Y
PRD_000064,SIZ_000036,94x94,12,1000,12,Y
