comp_price_id,comp_cd,apply_ymd,siz_cd,mat_cd,clr_cd,proc_cd,opt_cd,print_opt_cd,plt_siz_cd,coat_side_cnt,bdl_qty,min_qty,siz_width,siz_height,unit_price,dim_vals
22374,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,160.00,10400.00,
22375,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,180.00,11400.00,
22376,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,50.00,200.00,12400.00,
22377,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,140.00,11300.00,
22378,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,160.00,12700.00,
22379,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,180.00,14100.00,
22380,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,60.00,200.00,15500.00,
22381,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,70.00,80.00,8100.00,
22382,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,70.00,90.00,8800.00,
22383,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,70.00,140.00,12300.00,
22384,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,70.00,160.00,13700.00,
22385,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,70.00,180.00,15100.00,
22386,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,70.00,200.00,16500.00,
22387,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,90.00,9800.00,
22388,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,120.00,12200.00,
22389,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,180.00,17000.00,
22390,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,80.00,200.00,18600.00,
22391,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,140.00,15700.00,
22392,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,160.00,17700.00,
22393,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,180.00,19700.00,
22394,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,90.00,200.00,21700.00,
22395,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,100.00,120.00,14700.00,
22396,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,100.00,160.00,18700.00,
22397,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,100.00,180.00,20700.00,
22398,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,100.00,200.00,22700.00,
22399,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,140.00,18700.00,
22400,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,160.00,20700.00,
22401,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,120.00,200.00,24700.00,
22402,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,140.00,20700.00,
22403,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,160.00,22700.00,
22404,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,180.00,24700.00,
22405,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,140.00,200.00,26700.00,
22406,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,160.00,160.00,24700.00,
22407,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,160.00,180.00,26700.00,
22408,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,160.00,200.00,28700.00,
22409,COMP_ACRYL_CLEAR3T,2026-06-01,,MAT_000043,,,,,,,,1,180.00,180.00,28700.00,
