category,cell,col,row,type,raw,norm,sheet_grade,sheet_match,live_grade,live_prd_cd,live_opt_n,live_priced,status,reason
01 엽서,A23,A,23,product,투명포토카드,투명포토카드,exact,디지털인쇄:투명포토카드,exact,PRD_000025,4,Y,✅정상등록가능,라이브 opt=4·price사슬=Y
02 스티커,B23,B,23,section,▶︎스티커팩,스티커팩,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
03 인쇄홍보물,C23,C,23,section,▶︎봉투/홀더 외,봉투홀더외,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
04 포스터,D23,D,23,product,레더아트액자,레더아트액자,exact,실사:레더아트액자,exact,PRD_000132,0,Y,🟡신규출시,라이브 존재(PRD_000132)·결손:옵션0
08 문구,H23,H,23,product,만년스탬프,만년스탬프,exact,굿즈파우치:만년스탬프,exact,PRD_000217,0,N,🟡신규출시,라이브 존재(PRD_000217)·결손:옵션0/가격사슬X
11 에코백,K23,K,23,product,타이벡 삼각 파우치,타이벡삼각파우치,exact,굿즈파우치:타이벡 삼각 파우치,exact,PRD_000246,0,N,🟡신규출시,라이브 존재(PRD_000246)·결손:옵션0/가격사슬X
12 포장,L23,L,23,section,▶︎상품액세서리,상품액세서리,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
01 엽서,A24,A,24,product,종이슬로건,종이슬로건,exact,디지털인쇄:종이슬로건,exact,PRD_000026,5,Y,✅정상등록가능,라이브 opt=5·price사슬=Y
02 스티커,B24,B,24,product,스티커팩,스티커팩,exact,스티커:스티커팩,exact,PRD_000065,0,Y,🟡신규출시,라이브 존재(PRD_000065)·결손:옵션0
03 인쇄홍보물,C24,C,24,product,봉투제작,봉투제작,exact,디지털인쇄:봉투제작,exact,PRD_000050,0,Y,🟡신규출시,라이브 존재(PRD_000050)·결손:옵션0
04 포스터,D24,D,24,product,족자포스터,족자포스터,exact,실사:족자포스터,exact,PRD_000135,2,Y,✅정상등록가능,라이브 opt=2·price사슬=Y
08 문구,H24,H,24,product,자석북마크,자석북마크,exact,굿즈파우치:자석북마크,exact,PRD_000214,0,N,🟡신규출시,라이브 존재(PRD_000214)·결손:옵션0/가격사슬X
09 아크릴,I24,I,24,section,▶︎코롯토,코롯토,-,➖N/A(section),-,,,,➖N/A,섹션 헤더(비상품)
11 에코백,K24,K,24,product,타이벡 스트링 파우치,타이벡스트링파우치,exact,굿즈파우치:타이벡 스트링 파우치,exact,PRD_000247,0,N,🟡신규출시,라이브 존재(PRD_000247)·결손:옵션0/가격사슬X
12 포장,L24,L,24,product,우드거치대,우드거치대,exact,상품악세사리:우드거치대,exact,PRD_000012,0,N,🟡신규출시,라이브 존재(PRD_000012)·결손:옵션0/가격사슬X
01 엽서,A25,A,25,alias,→말랑 포카홀더,말랑포카홀더,exact,말랑포카홀더,exact,PRD_000223,,,◆교차참조,별칭(→) — 본체 타 카테고리
