sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
MAP,cell,11,N11,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,O11,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,P11,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,Q11,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,R11,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,S11,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,T11,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,U11,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,V11,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,W11,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,X11,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,Y11,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,11,Z11,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,A12,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,B12,02 스티커,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,C12,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,D12,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,E12,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,F12,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,G12,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,H12,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,I12,09 아크릴,FFFFFF00,신규,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,J12,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,K12,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,L12,12 포장,FFFFFF00,신규,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,M12,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,N12,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,O12,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,P12,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,Q12,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,R12,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,S12,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,T12,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,U12,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,V12,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,W12,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,X12,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,Y12,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,12,Z12,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,A13,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,B13,02 스티커,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,C13,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,D13,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,E13,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,F13,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,G13,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,I13,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,J13,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,K13,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,L13,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,M13,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,N13,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,O13,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,P13,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,Q13,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,R13,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,S13,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,T13,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,U13,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,V13,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,W13,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,13,X13,X,,,Values must be of type <class 'str'>,,,,,,,,
