prd_cd,prd_nm,siz_cd,work_size,press_sheet,output_paper_typ_cd,prd_typ,repro,is_jeonji_siz
PRD_000048,접지리플렛,SIZ_000184,424x303,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000048,접지리플렛,SIZ_000182,425x303,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000048,접지리플렛,SIZ_000181,426x303,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000049,와이드 접지리플렛,SIZ_000186,635x303,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000049,와이드 접지리플렛,SIZ_000188,644x303,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000049,와이드 접지리플렛,SIZ_000190,646x303,330x660,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000050,봉투제작,SIZ_000191,225x193,,,PRD_TYPE.04,N,N
PRD_000050,봉투제작,SIZ_000192,238x262,,,PRD_TYPE.04,N,N
PRD_000050,봉투제작,SIZ_000193,262x238,,,PRD_TYPE.04,N,N
PRD_000050,봉투제작,SIZ_000194,510x387,,,PRD_TYPE.04,N,N
PRD_000051,썬캡,SIZ_000195,313x400,330x540,,PRD_TYPE.04,Y,N
PRD_000052,반칼 자유형 스티커,SIZ_000057,105x148,317x440,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000052,반칼 자유형 스티커,SIZ_000007,148x210,316x467,,PRD_TYPE.04,N,N
PRD_000052,반칼 자유형 스티커,SIZ_000050,210x297,316x467,,PRD_TYPE.04,N,N
PRD_000053,반칼 자유형 투명스티커,SIZ_000057,105x148,317x440,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000053,반칼 자유형 투명스티커,SIZ_000007,148x210,316x467,,PRD_TYPE.04,N,N
PRD_000053,반칼 자유형 투명스티커,SIZ_000050,210x297,316x467,,PRD_TYPE.04,N,N
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000057,105x148,317x440,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000007,148x210,316x467,,PRD_TYPE.04,N,N
PRD_000054,반칼 자유형 홀로그램스티커,SIZ_000050,210x297,316x467,,PRD_TYPE.04,N,N
PRD_000055,낱장 자유형 스티커,SIZ_000050,210x297,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000055,낱장 자유형 스티커,SIZ_000052,297x420,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000055,낱장 자유형 스티커,SIZ_000198,420x594,,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000056,낱장 자유형 투명스티커,SIZ_000050,210x297,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000056,낱장 자유형 투명스티커,SIZ_000052,297x420,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000056,낱장 자유형 투명스티커,SIZ_000198,420x594,,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000057,대형 자유형 스티커,SIZ_000199,400x600,,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000058,반칼원형스티커,SIZ_000007,148x210,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000058,반칼원형스티커,SIZ_000050,210x297,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000059,반칼정사각스티커,SIZ_000007,148x210,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000059,반칼정사각스티커,SIZ_000050,210x297,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000060,반칼직사각스티커,SIZ_000007,148x210,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000060,반칼직사각스티커,SIZ_000050,210x297,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000061,반칼띠지스티커,SIZ_000007,148x210,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000061,반칼띠지스티커,SIZ_000050,210x297,316x467,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,N,N
PRD_000062,반칼팬시스티커,SIZ_000202,94x194,317x440,,PRD_TYPE.04,Y,N
PRD_000062,반칼팬시스티커,SIZ_000200,104x144,317x440,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000062,반칼팬시스티커,SIZ_000201,128x190,317x440,,PRD_TYPE.04,Y,N
PRD_000063,반칼팬시투명스티커,SIZ_000202,94x194,317x440,,PRD_TYPE.04,Y,N
PRD_000063,반칼팬시투명스티커,SIZ_000200,104x144,317x440,OUTPUT_PAPER_TYPE.03,PRD_TYPE.04,Y,N
PRD_000063,반칼팬시투명스티커,SIZ_000201,128x190,317x440,,PRD_TYPE.04,Y,N
PRD_000064,소량자유형스티커,SIZ_000063,50x94,307x430,,PRD_TYPE.04,Y,N
