comp_cd,apply_ymd,from_siz_cd,to_siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,old_comp_price_id
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",100,470.00,1017
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",1000,220.00,1069
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",10000,190.00,1133
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",1000000,190.00,1137
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",1200,220.00,1073
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",1400,220.00,1077
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",15,1200.00,969
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",150,450.00,1021
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",1600,220.00,1081
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",1800,210.00,1085
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",2,2800.00,933
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",20,1150.00,973
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",200,420.00,1025
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",2000,210.00,1089
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",25,1080.00,977
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",250,390.00,1029
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",2500,210.00,1093
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",3,2500.00,937
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",30,1010.00,981
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",300,360.00,1033
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",3000,210.00,1097
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",35,950.00,985
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",350,340.00,1037
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",3500,210.00,1101
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",4,2000.00,941
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",40,880.00,989
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",400,310.00,1041
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",4000,200.00,1105
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",45,810.00,993
COMP_PRINT_DIGITAL_S1,2026-06-01,SIZ_000077,SIZ_PROPOSE_3JEOL,CLR_000005,"","","",450,280.00,1045
