prd_cd,상품명,상품군,등급,축,근거
PRD_000273,타이벡 양면 백팩,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000273,타이벡 양면 백팩,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000276,타이벡 에코백,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000276,타이벡 에코백,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000127,타이벡프린트,실사,L3,공정,축 needed=Y이나 라이브 미적재
PRD_000127,타이벡프린트,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000248,타이벡 플랫 클러치,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000248,타이벡 플랫 클러치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000244,타이벡 플랫 파우치,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000244,타이벡 플랫 파우치,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000067,타투스티커,스티커,L3,공정,축 needed=Y이나 라이브 미적재
PRD_000199,투명부채,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000199,투명부채,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000216,투명클립보드,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000216,투명클립보드,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000183,틴거울,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000183,틴거울,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000213,틴케이스,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000213,틴케이스,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000130,포맥스보드,실사,L3,자재,축 needed=Y이나 라이브 미적재
PRD_000130,포맥스보드,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000165,포카코롯토,아크릴,L2+,공정,축 needed=Y이나 라이브 미적재
PRD_000101,,포토북,L2(반제품),자재,축 needed=Y이나 라이브 미적재
PRD_000101,,포토북,L2(반제품),사이즈,축 needed=Y이나 라이브 미적재
PRD_000101,,포토북,L2(반제품),도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000104,,포토북,L2(반제품),자재,축 needed=Y이나 라이브 미적재
PRD_000104,,포토북,L2(반제품),공정,축 needed=Y이나 라이브 미적재
PRD_000106,,포토북,L2(반제품),자재,축 needed=Y이나 라이브 미적재
PRD_000106,,포토북,L2(반제품),공정,축 needed=Y이나 라이브 미적재
PRD_000106,,포토북,L2(반제품),사이즈,축 needed=Y이나 라이브 미적재
PRD_000106,,포토북,L2(반제품),도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000105,,책자,L2(반제품),자재,축 needed=Y이나 라이브 미적재
PRD_000105,,책자,L2(반제품),공정,축 needed=Y이나 라이브 미적재
PRD_000105,,책자,L2(반제품),사이즈,축 needed=Y이나 라이브 미적재
PRD_000105,,책자,L2(반제품),도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000107,,포토북,L2(반제품),자재,축 needed=Y이나 라이브 미적재
PRD_000107,,포토북,L2(반제품),공정,축 needed=Y이나 라이브 미적재
PRD_000107,,포토북,L2(반제품),사이즈,축 needed=Y이나 라이브 미적재
PRD_000107,,포토북,L2(반제품),도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000103,,포토북,L2(반제품),자재,축 needed=Y이나 라이브 미적재
PRD_000103,,포토북,L2(반제품),공정,축 needed=Y이나 라이브 미적재
PRD_000103,,포토북,L2(반제품),사이즈,축 needed=Y이나 라이브 미적재
PRD_000103,,포토북,L2(반제품),도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000102,,책자,L2(반제품),자재,축 needed=Y이나 라이브 미적재
PRD_000102,,책자,L2(반제품),공정,축 needed=Y이나 라이브 미적재
PRD_000102,,책자,L2(반제품),사이즈,축 needed=Y이나 라이브 미적재
PRD_000102,,책자,L2(반제품),도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000220,폰스트랩,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000220,폰스트랩,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000129,폼보드,실사,L3,자재,축 needed=Y이나 라이브 미적재
PRD_000129,폼보드,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000131,프레임리스우드액자,실사,L3,자재,축 needed=Y이나 라이브 미적재
PRD_000131,프레임리스우드액자,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000198,피크닉매트,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000200,핀버튼,굿즈파우치,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000200,핀버튼,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000200,핀버튼,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000228,하트 이미지피켓,굿즈파우치,L1,사이즈,축 needed=Y이나 라이브 미적재
PRD_000228,하트 이미지피켓,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000010,행택끈,상품악세사리,L1(기성),사이즈,축 needed=Y이나 라이브 미적재
PRD_000038,형압명함,디지털인쇄,L1,자재,축 needed=Y이나 라이브 미적재
PRD_000141,홀로그램 시트커팅,실사,L3,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
PRD_000209,후드티셔츠,굿즈파우치,L1,도수,축 needed=Y이나 라이브 미적재(인쇄/도수)
