comp_cd,apply_ymd,siz_cd,mat_cd,min_qty,unit_price,note,src_col,src_row
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,8,6300.00,권위 스티커 r13 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,13
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,10,6300.00,권위 스티커 r14 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,14
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,15,6200.00,권위 스티커 r15 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,15
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,20,6200.00,권위 스티커 r16 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,16
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,25,6100.00,권위 스티커 r17 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,17
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,30,6100.00,권위 스티커 r18 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,18
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,38,6000.00,권위 스티커 r19 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,19
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,40,6000.00,권위 스티커 r20 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,20
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,50,5900.00,권위 스티커 r21 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,21
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,60,5900.00,권위 스티커 r22 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,22
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,70,5900.00,권위 스티커 r23 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,23
STK_KISSCUT_PRINT,2026-09-02,SIZ_000058,MAT_000584,75,5700.00,권위 스티커 r24 c14 · 묶음 유포/비코팅/미색 · 시트 100*148 은 100x140 오타(지니 확인 260904),c14,24
