source,sheet,product_or_context,display_name,raw_dims,unit,semantic_axis_guess
master,스티커,,A4 (210 x 297 mm),"{""work"": ""210 x 297"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,스티커,낱장 자유형 스티커,A4 (210 x 297 mm),"{""work"": ""210 x 297"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A3 (297 x 420 mm),"{""work"": ""297 x 420"", ""cut"": ""297 x 420""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A2 (420 x 594 mm),"{""work"": ""420 x 594"", ""cut"": ""420 x 594""}",mm,작업/재단(완제 디스플레이)
master,스티커,낱장 자유형 투명스티커,A4 (210 x 297 mm),"{""work"": ""210 x 297"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A3 (297 x 420 mm),"{""work"": ""297 x 420"", ""cut"": ""297 x 420""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A2 (420 x 594 mm),"{""work"": ""420 x 594"", ""cut"": ""420 x 594""}",mm,작업/재단(완제 디스플레이)
master,스티커,대형 자유형 스티커,400 x 600 mm,"{""work"": ""400 x 600"", ""cut"": ""400 x 600""}",mm,작업/재단(완제 디스플레이)
master,스티커,반칼원형스티커,A5 (148 x 210 mm),"{""work"": ""148 x 210"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A4 (210 x 297 mm),"{""work"": ""210 x 297"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,스티커,반칼정사각스티커,A5 (148 x 210 mm),"{""work"": ""148 x 210"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A4 (210 x 297 mm),"{""work"": ""210 x 297"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,스티커,반칼직사각스티커,A5 (148 x 210 mm),"{""work"": ""148 x 210"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A4 (210 x 297 mm),"{""work"": ""210 x 297"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,스티커,반칼띠지스티커,A5 (148 x 210 mm),"{""work"": ""148 x 210"", ""cut"": ""148 x 210""}",mm,작업/재단(완제 디스플레이)
master,스티커,,A4 (210 x 297 mm),"{""work"": ""210 x 297"", ""cut"": ""210 x 297""}",mm,작업/재단(완제 디스플레이)
master,스티커,반칼팬시스티커,100 x 140 mm,"{""work"": ""104 x 144"", ""cut"": ""100 x 140""}",mm,작업/재단(완제 디스플레이)
master,스티커,,124 x186 mm,"{""work"": ""128 x 190"", ""cut"": ""124 x 186""}",mm,작업/재단(완제 디스플레이)
master,스티커,,90 x 190 mm,"{""work"": ""94 x 194"", ""cut"": ""90 x 190""}",mm,작업/재단(완제 디스플레이)
master,스티커,반칼팬시투명스티커,100 x 140 mm,"{""work"": ""104 x 144"", ""cut"": ""100 x 140""}",mm,작업/재단(완제 디스플레이)
master,스티커,,124 x186 mm,"{""work"": ""128 x 190"", ""cut"": ""124 x 186""}",mm,작업/재단(완제 디스플레이)
master,스티커,,90 x 190 mm,"{""work"": ""94 x 194"", ""cut"": ""90 x 190""}",mm,작업/재단(완제 디스플레이)
master,스티커,소량자유형스티커,50 x 70 mm,"{""work"": ""50 x 70"", ""cut"": ""50 x 70""}",mm,작업/재단(완제 디스플레이)
master,스티커,,70 x 50 mm,"{""work"": ""70 x 50"", ""cut"": ""70 x 50""}",mm,작업/재단(완제 디스플레이)
master,스티커,,50 x 94 mm,"{""work"": ""50 x 94"", ""cut"": ""50 x 94""}",mm,작업/재단(완제 디스플레이)
master,스티커,,94 x 50 mm,"{""work"": ""94 x 50"", ""cut"": ""94 x 50""}",mm,작업/재단(완제 디스플레이)
master,스티커,,65 x 65 mm,"{""work"": ""65 x 65"", ""cut"": ""65 x 65""}",mm,작업/재단(완제 디스플레이)
master,스티커,,80 x 80 mm,"{""work"": ""80 x 80"", ""cut"": ""80 x 80""}",mm,작업/재단(완제 디스플레이)
master,스티커,,94 x 94 mm,"{""work"": ""94 x 94"", ""cut"": ""94 x 94""}",mm,작업/재단(완제 디스플레이)
master,스티커,스티커팩,75 x 110 mm,"{""work"": ""75 x 110"", ""cut"": ""75 x 110""}",mm,작업/재단(완제 디스플레이)
master,스티커,합판도무송스티커,원형 10mm (8EA),"{""work"": ""72 x 46"", ""cut"": ""72 x 46""}",mm,작업/재단(완제 디스플레이)
master,스티커,,원형 15mm (8EA),"{""work"": ""79 x 43"", ""cut"": ""79 x 43""}",mm,작업/재단(완제 디스플레이)
master,스티커,,원형 20mm (6EA),"{""work"": ""77 x 53"", ""cut"": ""77 x 53""}",mm,작업/재단(완제 디스플레이)
master,스티커,,원형 25mm (3EA),"{""work"": ""91 x 35"", ""cut"": ""91 x 35""}",mm,작업/재단(완제 디스플레이)
master,스티커,,원형 30mm (2EA),"{""work"": ""73 x 40"", ""cut"": ""73 x 40""}",mm,작업/재단(완제 디스플레이)
master,스티커,,원형 35mm (2EA),"{""work"": ""83 x 45"", ""cut"": ""83 x 45""}",mm,작업/재단(완제 디스플레이)
