comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,proc_cd,opt_cd,dim_vals,print_opt_cd,plt_siz_cd,siz_width,siz_height
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,4,2000.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 4장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,5,1700.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 5장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,6,1500.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 6장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,7,1300.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 7장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,8,1200.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 8장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,9,1100.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 9장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,10,1000.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 10장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,15,1200.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 15장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,20,1150.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 20장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,25,1080.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 25장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,30,1010.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 30장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,35,950.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 35장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,40,880.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 40장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,45,810.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 45장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,50,750.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 50장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,60,680.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 60장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,70,610.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 70장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,80,540.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 80장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,90,470.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 90장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,100,470.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 100장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
COMP_PRINT_DIGITAL_S1,2026-06-01,,,,,,150,450.00,디지털인쇄 출력비(3절)/칼라(CMYK)/양면 출력매수 150장 이상,PROC_000004,,,POPT_000002,SIZ_000077,,
