product_key,prd_nm,gubun,variant_idx,excel_row,구분,ID,MES ITEM_CD,상품명,사이즈(필수),판수,파일사양_블리드,파일사양_작업사이즈,파일사양_재단사이즈,파일사양_출력용지규격,파일사양_파일명약어,파일사양_출력파일,파일사양_폴더,주문방법(필수)_업로드,주문방법(필수)_편집기,종이(필수),인쇄(옵션),별색인쇄(옵션)_화이트,별색인쇄(옵션)_클리어,별색인쇄(옵션)_핑크,별색인쇄(옵션)_금색,별색인쇄(옵션)_은색,코팅(옵션),커팅(옵션),조각수(옵션),제작수량(필수)_최소,제작수량(필수)_최대,제작수량(필수)_증가,후가공(옵션)_가변(텍스트),후가공(옵션)_가변(이미지),추가상품(옵션)_추가상품,추가상품(옵션)_추가가격,AG,AH,AI,AJ,AK
14546,합판도무송스티커,,0,131,,14546,002-0013,합판도무송스티커,원형 10mm (8EA),,,72 x 46,72 x 46,,합판스티커,AI,합판인쇄,Y,,유포스티커,단면,,,,,,,,,1000,5000,1000,,,,,,,,,
14546,합판도무송스티커,,1,132,,,,,원형 15mm (8EA),,,79 x 43,79 x 43,,,*파일재작업 후 주문,,,,비코팅스티커,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,2,133,,,,,원형 20mm (6EA),,,77 x 53,77 x 53,,,,,,,무광코팅스티커,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,3,134,,,,,원형 25mm (3EA),,,91 x 35,91 x 35,,,,,,,유광코팅스티커,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,4,135,,,,,원형 30mm (2EA),,,73 x 40,73 x 40,,,,,,,투명데드롱스티커,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,5,136,,,,,원형 35mm (2EA),,,83 x 45,83 x 45,,,,,,,은데드롱스티커,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,6,137,,,,,원형 40mm (2EA),,,93 x 50,93 x 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,7,138,,,,,원형 45mm (1EA),,,55 x 55,55 x 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,8,139,,,,,원형 50mm (1EA),,,60 x 60,60 x 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,9,140,,,,,원형 55mm (1EA),,,65 x 65,65 x 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,10,141,,,,,원형 60mm (1EA),,,70 x 70,70 x 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,11,142,,,,,정사각 10 x 10mm (8EA),,,72 x 46,72 x 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,12,143,,,,,정사각 15 x 15mm (8EA),,,79 x 43,79 x 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,13,144,,,,,정사각 20 x 20mm (6EA),,,77 x 53,77 x 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,14,145,,,,,정사각 25 x 25mm (3EA),,,91 x 35,91 x 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,15,146,,,,,정사각 30 x 30mm (2EA),,,73 x 40,73 x 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,16,147,,,,,정사각 35 x 35mm (2EA),,,83 x 45,83 x 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,17,148,,,,,정사각 40 x 40mm (2EA),,,93 x 50,93 x 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,18,149,,,,,정사각 45 x 45mm (1EA),,,55 x 55,55 x 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14546,합판도무송스티커,,19,150,,,,,정사각 50 x 50mm (1EA),,,60 x 60,60 x 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
