prd_cd,prd_nm,siz_cd,siz_label,siz_nm_live,auth_min,auth_max,auth_incr,prod_min,prod_max,prod_incr,band_min,prop_min,prop_max,prop_incr,cur_min,cur_max,cur_incr,verdict,note
PRD_000043,인쇄배경지(OPP봉투타입),SIZ_000038,105 x 160 mm,105x160,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
PRD_000044,인쇄배경지(투명케이스타입),SIZ_000039,74 x 74 mm,74x74,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
PRD_000045,인쇄헤더택,SIZ_000043,80 x 80mm,80x80,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
PRD_000046,라벨/택,SIZ_000047,40 x 80 mm,40x80,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
PRD_000046,라벨/택,SIZ_000011,50 x 50 mm,50x50,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
PRD_000046,라벨/택,SIZ_000048,25 x 110 mm,25x110,20,1000,20,20,1000,20,1,20,1000,20,,,,SKIP,
PRD_000047,소량전단지,SIZ_000170,A5 (148 x 210mm),A5(148x210mm),2,100000,1,2,100000,1,1,2,100000,1,,,,SKIP,
PRD_000051,썬캡,SIZ_000195,313 x 400 mm,313x400,10,1000,10,10,1000,10,,10,1000,10,,,,SKIP,
PRD_000172,만년다이어리(소프트커버),SIZ_000375,130 x 190 mm,130x190,1,500,1,1,500,1,1,1,500,1,,,,SKIP,
PRD_000173,만년다이어리(하드커버),SIZ_000375,130 x 190 mm,130x190,1,500,1,1,500,1,1,1,500,1,,,,SKIP,
PRD_000174,만년다이어리(레더하드커버),SIZ_000375,130 x 190 mm,130x190,1,500,1,1,500,1,1,1,500,1,,,,SKIP,
PRD_000175,만년다이어리(레더소프트커버),SIZ_000375,130 x 190 mm,130x190,1,500,1,1,500,1,1,1,500,1,,,,SKIP,
PRD_000176,먼슬리플래너,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),1,500,1,1,500,1,1,1,500,1,,,,SKIP,
PRD_000177,스프링노트,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000178,스프링수첩,SIZ_000377,90 x 145 mm,90x145,4,500,4,4,500,4,1,4,500,4,,,,SKIP,
PRD_000179,메모패드,SIZ_000379,144 x 206 mm,144x206,1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000179,메모패드,SIZ_000380,182 x 257 mm,B5 (182X257),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000181,중철노트,SIZ_000196,A6 (105 x 148 mm),A6(105x148mm),4,500,4,4,500,4,1,4,500,4,,,,SKIP,
PRD_000052,반칼 자유형 스티커,SIZ_000057,A6 (105 x 148 mm),A6 (105X148),8,10000,8,8,10000,8,1,8,10000,8,,,,SKIP,
PRD_000052,반칼 자유형 스티커,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),4,10000,4,8,10000,8,1,4,10000,4,,,,FILL,
PRD_000052,반칼 자유형 스티커,SIZ_000520,A4 (210 x 297 mm),A4(210x297mm) 반칼,2,10000,2,8,10000,8,1,2,10000,2,,,,FILL,
PRD_000053,반칼 자유형 투명스티커,SIZ_000057,A6 (105 x 148 mm),A6 (105X148),8,10000,8,8,10000,8,1,8,10000,8,,,,SKIP,
