prd_cd,prd_nm,wgt_cd,siz_cd,mat_cd,qty,total,verdict,err
PRD_000238,레더아이패드노트북파우치,WGT_000380,SIZ_000581,MAT_000379,1,35000,OK,
PRD_000244,타이벡플랫파우치,WGT_000368,SIZ_000453,MAT_000373,1,8600,OK,
PRD_000245,타이벡슬림파우치,WGT_000369,SIZ_000592,MAT_000373,1,6800,OK,
PRD_000246,타이벡삼각파우치,WGT_000370,SIZ_000594,MAT_000373,1,7000,OK,
PRD_000247,타이벡스트링파우치,WGT_000371,SIZ_000596,MAT_000381,1,10000,OK,
PRD_000248,타이벡플랫클러치,WGT_000372,SIZ_000442,MAT_000373,1,12500,OK,
PRD_000249,메쉬슬림파우치,WGT_000373,SIZ_000599,MAT_000606,1,8600,OK,
PRD_000250,메쉬볼륨파우치,WGT_000388,SIZ_000617,MAT_000606,1,15000,OK,
PRD_000251,레더플랫미니파우치,WGT_000389,SIZ_000462,MAT_000379,1,6500,OK,
PRD_000252,레더슬림미니파우치,WGT_000390,SIZ_000602,MAT_000379,1,6500,OK,
PRD_000253,레더삼각미니파우치,WGT_000391,SIZ_000465,MAT_000379,1,7200,OK,
PRD_000254,레더볼륨미니파우치,WGT_000439,SIZ_000604,MAT_000379,1,8000,OK,
PRD_000255,레더원형미니파우치,WGT_000440,SIZ_000468,MAT_000379,1,10000,OK,
PRD_000256,레더플랫필통,WGT_000392,SIZ_000469,MAT_000379,1,7500,OK,
PRD_000257,레더슬림필통,WGT_000393,SIZ_000470,MAT_000379,1,8500,OK,
PRD_000258,레더삼각필통,WGT_000394,SIZ_000471,MAT_000379,1,8500,OK,
PRD_000259,레더볼륨필통,WGT_000395,SIZ_000472,MAT_000379,1,9500,OK,
PRD_000260,레더원형필통,WGT_000396,SIZ_000473,,1,10500,OK,
PRD_000263,레더토트백,WGT_000397,SIZ_000586,MAT_000379,1,31000,OK,
PRD_000264,레더숄더백,WGT_000398,SIZ_000476,MAT_000379,1,58000,OK,
PRD_000273,타이벡양면백팩,WGT_000378,SIZ_000401,MAT_000381,1,17500,OK,
PRD_000274,타이벡보냉보틀백,WGT_000377,SIZ_000486,MAT_000381,1,19500,OK,
PRD_000275,타이벡보냉미니백,WGT_000376,SIZ_000488,MAT_000381,1,25000,OK,
PRD_000276,타이벡에코백,WGT_000374,SIZ_000489,MAT_000381,1,22500,OK,
PRD_000277,타이벡보냉에코백,WGT_000375,SIZ_000489,MAT_000381,1,28000,OK,
PRD_000278,메쉬토트백,WGT_000399,SIZ_000490,MAT_000606,1,20500,OK,
PRD_000279,메쉬에코백,WGT_000400,SIZ_000491,MAT_000606,1,25500,OK,
PRD_000280,레더라벨제작,WGT_000379,SIZ_000492,MAT_000379,10,2000,OK,
PRD_000283,트레싱지봉투,WGT_000291,SIZ_000102,,1,,ERR,선택값에 매칭되는 구성요소가 없습니다(합계 0원).
