prd_cd,prd_nm,wgt_cd,proc_cd,proc_nm,qty,base,withproc,gap,verdict,note,base_comps
PRD_000054,반칼 자유형 홀로그램스티커,WGT_000438,PROC_000004,디지털인쇄,8,58400,58400,0,OK,,스티커 완제품가(소재·규격)
PRD_000055,낱장 자유형 스티커,WGT_000434,,,,,,,BASE-FAIL,선택값에 매칭되는 구성요소가 없습니다(합계 0원).,
PRD_000056,낱장 자유형 투명스티커,WGT_000435,PROC_000109,화이트라텍스출력,1,7000,7000,0,OK,,스티커 완제품가(소재·규격)
PRD_000057,대형 자유형 스티커,WGT_000436,,,,,,,BASE-FAIL,선택값에 매칭되는 구성요소가 없습니다(합계 0원).,
PRD_000058,반칼원형스티커,WGT_000257,PROC_000004,디지털인쇄,4,23200,23200,0,OK,,스티커 완제품가(소재·규격)
PRD_000060,반칼직사각스티커,WGT_000309,PROC_000122,반칼커팅,4,23200,23200,0,OK,,스티커 완제품가(소재·규격)
PRD_000060,반칼직사각스티커,WGT_000309,PROC_000004,디지털인쇄,4,23200,23200,0,OK,,스티커 완제품가(소재·규격)
PRD_000061,반칼띠지스티커,WGT_000310,PROC_000004,디지털인쇄,4,23200,23200,0,OK,,스티커 완제품가(소재·규격)
PRD_000061,반칼띠지스티커,WGT_000310,PROC_000122,반칼커팅,4,23200,23200,0,OK,,스티커 완제품가(소재·규격)
PRD_000062,반칼팬시스티커,WGT_000311,PROC_000004,디지털인쇄,8,50400,50400,0,OK,,스티커 완제품가(소재·규격)
PRD_000062,반칼팬시스티커,WGT_000311,PROC_000122,반칼커팅,8,50400,50400,0,OK,,스티커 완제품가(소재·규격)
PRD_000067,타투스티커,WGT_000313,,,,,,,BASE-FAIL,선택값에 매칭되는 구성요소가 없습니다(합계 0원).,
PRD_000094,엽서북,WGT_000287,,,,,,,BASE-FAIL,선택값에 매칭되는 구성요소가 없습니다(합계 0원).,
PRD_000108,탁상형캘린더,WGT_000283,PROC_000004,디지털인쇄,1,63,4063,4000,UNDERCHARGE,,용지비(종이별 절가)
PRD_000109,미니탁상형캘린더,WGT_000427,,,,,,,BASE-FAIL,페이지수를 입력하세요.,
PRD_000110,엽서캘린더,WGT_000284,,,,,,,BASE-FAIL,페이지수를 입력하세요.,
PRD_000111,벽걸이캘린더,WGT_000285,,,,,,,BASE-FAIL,페이지수를 입력하세요.,
PRD_000112,와이드벽걸이캘린더,WGT_000286,,,,,,,BASE-FAIL,페이지수를 입력하세요.,
PRD_000118,아트프린트포스터,WGT_000258,PROC_000006,실사출력,1,12000,12000,0,OK,,
