prd_cd,prd_nm,prd_typ,verdict,prd_min,prd_max,prd_incr,strictest_band_min,loosest_band_min,max_band_start,frm_cd,trap_comps
PRD_000181,중철노트,PRD_TYPE.01,INFO_MAX,4,500,4,1,1,1,PRF_STN_JUNGCHEOL,
PRD_000284,하드커버책자-내지,PRD_TYPE.02,OK,(미등록=1),,,1,1,1000000,PRF_DGP_INNER,
PRD_000285,레더 하드커버책자-내지,PRD_TYPE.02,OK,(미등록=1),,,1,1,1000000,PRF_DGP_INNER,
PRD_000286,하드커버 링책자-내지,PRD_TYPE.02,OK,(미등록=1),,,1,1,1000000,PRF_DGP_INNER,
PRD_000287,중철책자-내지,PRD_TYPE.02,OK,(미등록=1),,,1,1,1000000,PRF_DGP_INNER,
PRD_000288,중철책자-표지,PRD_TYPE.02,OK,(미등록=1),,,1,1,1000000,PRF_BOOK_COVER,
PRD_000289,무선책자-내지,PRD_TYPE.02,OK,(미등록=1),,,1,1,1000000,PRF_DGP_INNER,
PRD_000290,무선책자-표지,PRD_TYPE.02,OK,(미등록=1),,,1,1,1000000,PRF_BOOK_COVER,
PRD_000291,PUR책자-내지,PRD_TYPE.02,OK,(미등록=1),,,1,1,1000000,PRF_DGP_INNER,
PRD_000292,PUR책자-표지,PRD_TYPE.02,OK,(미등록=1),,,1,1,1000000,PRF_BOOK_COVER,
