mat_cd	mat_nm	mat_typ_cd	upr_mat_cd	sel_typ_cd	max_sel_cnt	width	height	depth	weight	bdl_qty	use_yn	note	reg_dt	upd_dt	del_yn	del_dt
MAT_000098	앙상블 190g	MAT_TYPE.01	MAT_000094			316.00	467.00		190.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000099	앙상블 210g	MAT_TYPE.01	MAT_000094			316.00	467.00		210.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000100	랑데뷰	MAT_TYPE.01		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (2 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:55:10.870146	Y	2026-06-16 18:55:10.868261
MAT_000101	랑데뷰 WH 240g	MAT_TYPE.01	MAT_000100			316.00	467.00		240.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000102	랑데뷰 WH 310g	MAT_TYPE.01	MAT_000100			316.00	467.00		310.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000103	몽블랑	MAT_TYPE.01		SEL_TYPE.01							Y	IMPORT 약어/base 기준 root (9 자식)	2026-06-03 12:46:02.974607	2026-06-16 18:55:10.863678	Y	2026-06-16 18:55:10.861661
MAT_000104	몽블랑 100g	MAT_TYPE.01	MAT_000103			316.00	467.00		100.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000105	몽블랑 130g	MAT_TYPE.01	MAT_000103			316.00	467.00		130.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000106	몽블랑 160g	MAT_TYPE.01	MAT_000103			316.00	467.00		160.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000107	몽블랑 190g	MAT_TYPE.01	MAT_000103			316.00	467.00		190.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000108	몽블랑 210g	MAT_TYPE.01	MAT_000103			316.00	467.00		210.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000109	몽블랑 240g	MAT_TYPE.01	MAT_000103			316.00	467.00		240.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000110	몽블랑 130g (3절)	MAT_TYPE.01	MAT_000103			316.00	467.00		130.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000111	몽블랑 190g (3절)	MAT_TYPE.01	MAT_000103			316.00	467.00		190.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000112	몽블랑 240g (3절)	MAT_TYPE.01	MAT_000103			316.00	467.00		240.00		Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000113	아코팩(웜화이트) 250g	MAT_TYPE.01				316.00	467.00		250.00		Y		2026-06-03 12:46:02.974607	2026-06-17 14:14:11.799647	N	
MAT_000114	리사이클러스 240g	MAT_TYPE.01				316.00	467.00		240.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000115	매쉬멜로우 233g	MAT_TYPE.01				316.00	467.00		233.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000116	린넨커버 216g	MAT_TYPE.01				316.00	467.00		216.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000117	스타화이트(하이테크) 238g	MAT_TYPE.01				316.00	467.00		238.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000118	클래식 크래스트 스티플 270g	MAT_TYPE.01				316.00	467.00		270.00		Y		2026-06-03 12:46:02.974607		N	
MAT_000119	리브스디자인 250g	MAT_TYPE.01							250.00		Y		2026-06-03 12:46:02.974607	2026-06-16 18:56:11.485615	Y	2026-06-16 18:56:11.483674
