kind,prd_cd,frm_cd,code,name,extra,conf
PROC_MISMATCH,PRD_000020,PRF_DGP_A,COMP_PP_CORNER_RIGHT,귀돌이비,PROC_000027;PROC_000028,REVIEW
PROC_MISMATCH,PRD_000020,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,PROC_000090,REVIEW
PROC_MISMATCH,PRD_000020,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,PROC_000086,REVIEW
PROC_MISMATCH,PRD_000020,PRF_DGP_A,COMP_PP_VARTEXT_1EA,가변텍스트,PROC_000031,REVIEW
PROC_MISMATCH,PRD_000020,PRF_DGP_A,COMP_PP_VARIMG_1EA,가변이미지,PROC_000032,REVIEW
PROC_MISMATCH,PRD_000020,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,PROC_000014,REVIEW
PROC_MISMATCH,PRD_000020,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,PROC_000015,REVIEW
PROC_MISMATCH,PRD_000020,PRF_DGP_A,COMP_PRINT_DIGITAL_S1,디지털인쇄비,PROC_000004,HIGH
PROC_MISMATCH,PRD_000021,PRF_DGP_A,COMP_PP_CORNER_RIGHT,귀돌이비,PROC_000027;PROC_000028,REVIEW
PROC_MISMATCH,PRD_000021,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,PROC_000090,REVIEW
PROC_MISMATCH,PRD_000021,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,PROC_000086,REVIEW
PROC_MISMATCH,PRD_000021,PRF_DGP_A,COMP_PP_VARTEXT_1EA,가변텍스트,PROC_000031,REVIEW
PROC_MISMATCH,PRD_000021,PRF_DGP_A,COMP_PP_VARIMG_1EA,가변이미지,PROC_000032,REVIEW
PROC_MISMATCH,PRD_000021,PRF_DGP_A,COMP_COAT_GLOSSY,유광코팅비,PROC_000014,REVIEW
PROC_MISMATCH,PRD_000021,PRF_DGP_A,COMP_COAT_MATTE,무광코팅비,PROC_000015,REVIEW
PROC_MISMATCH,PRD_000022,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,별색인쇄비,PROC_000008;PROC_000009;PROC_000010;PROC_000011;PROC_000012,REVIEW
PROC_MISMATCH,PRD_000022,PRF_DGP_A,COMP_PP_CORNER_RIGHT,귀돌이비,PROC_000027;PROC_000028,REVIEW
PROC_MISMATCH,PRD_000022,PRF_DGP_A,COMP_PP_CREASE_1L,오시비,PROC_000090,REVIEW
PROC_MISMATCH,PRD_000022,PRF_DGP_A,COMP_PP_PERF_1L,미싱비,PROC_000086,REVIEW
PROC_MISMATCH,PRD_000022,PRF_DGP_A,COMP_PP_VARTEXT_1EA,가변텍스트,PROC_000031,REVIEW
