prd_cd,frm_cd,comp_cd,comp_nm,price_rows,kind,conf
PRD_000138,PRF_POSTER_BANNER_N,COMP_POPT_BNR_GAKMOK_STR_900_4_GT,현수막 각목(900mm 초과)+끈(4개) 추가가격,1,OPT_NOTSEL,REVIEW
PRD_000138,PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_PROC_PUNCH_4,일반현수막 타공(4개) 추가가격,3,OPT_NOTSEL,REVIEW
PRD_000138,PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_PROC_DTAPE,일반현수막 양면테잎 추가가격,1,OPT_NOTSEL,REVIEW
PRD_000138,PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_PROC_BONGSEW,일반현수막 봉미싱 추가가격,1,OPT_NOTSEL,REVIEW
PRD_000138,PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_ADD_QBANG_4,일반현수막 큐방(4개) 추가가격,1,OPT_NOTSEL,REVIEW
PRD_000138,PRF_POSTER_BANNER_N,COMP_POSTEROPT_BANNER_NORMAL_ADD_STRING_4,일반현수막 끈(4개) 추가가격,1,OPT_NOTSEL,REVIEW
PRD_000139,PRF_POSTER_BANNER_M,COMP_POSTEROPT_BANNER_MESH_ADD_QBANG_4,메쉬현수막 큐방(4개) 추가가격,1,OPT_NOTSEL,REVIEW
PRD_000139,PRF_POSTER_BANNER_M,COMP_POSTEROPT_BANNER_MESH_ADD_STRING_4,메쉬현수막 끈(4개) 추가가격,1,OPT_NOTSEL,REVIEW
PRD_000139,PRF_POSTER_BANNER_M,COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_4,메쉬현수막 타공(4개) 추가가격,1,OPT_NOTSEL,REVIEW
PRD_000139,PRF_POSTER_BANNER_M,COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_6,메쉬현수막 타공(6개) 추가가격,1,OPT_NOTSEL,REVIEW
PRD_000139,PRF_POSTER_BANNER_M,COMP_POSTEROPT_BANNER_MESH_PROC_PUNCH_8,메쉬현수막 타공(8개) 추가가격,1,OPT_NOTSEL,REVIEW
