comp_price_id,comp_cd,placeholder_siz,W,H,target_siz_cd,status
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_600x800,600,800,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_800x800,800,800,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1000x800,1000,800,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1200x800,1200,800,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_600x1000,600,1000,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_800x1000,800,1000,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1000x1000,1000,1000,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1200x1000,1200,1000,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_600x1200,600,1200,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_800x1200,800,1200,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1000x1200,1000,1200,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1200x1200,1200,1200,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_600x1400,600,1400,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_800x1400,800,1400,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1000x1400,1000,1400,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1200x1400,1200,1400,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_600x1600,600,1600,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_800x1600,800,1600,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1000x1600,1000,1600,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1200x1600,1200,1600,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_800x1800,800,1800,,NEW
,COMP_POSTER_ARTPRINT_PHOTO,SIZ_PENDING_POSTER_1000x1800,1000,1800,,NEW
