prd_cd,siz_cd,dflt_yn,disp_seq,reg_dt,upd_dt
PRD_000141,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000141,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000141,SIZ_000197,Y,1,2026-06-03 12:46:02.974607,
PRD_000142,SIZ_000324,Y,1,2026-06-03 12:46:02.974607,
PRD_000142,SIZ_000325,Y,1,2026-06-03 12:46:02.974607,
PRD_000142,SIZ_000326,Y,1,2026-06-03 12:46:02.974607,
PRD_000142,SIZ_000327,Y,1,2026-06-03 12:46:02.974607,
PRD_000143,SIZ_000324,Y,1,2026-06-03 12:46:02.974607,
PRD_000143,SIZ_000325,Y,1,2026-06-03 12:46:02.974607,
PRD_000143,SIZ_000326,Y,1,2026-06-03 12:46:02.974607,
PRD_000143,SIZ_000327,Y,1,2026-06-03 12:46:02.974607,
PRD_000144,SIZ_000170,Y,1,2026-06-03 12:46:02.974607,
PRD_000144,SIZ_000172,Y,1,2026-06-03 12:46:02.974607,
PRD_000144,SIZ_000174,Y,1,2026-06-03 12:46:02.974607,
PRD_000145,SIZ_000028,Y,1,2026-06-03 12:46:02.974607,
PRD_000145,SIZ_000328,Y,1,2026-06-03 12:46:02.974607,
PRD_000146,SIZ_000011,Y,1,2026-06-03 12:46:02.974607,
PRD_000146,SIZ_000329,Y,1,2026-06-03 12:46:02.974607,
PRD_000146,SIZ_000330,Y,1,2026-06-03 12:46:02.974607,
PRD_000146,SIZ_000331,Y,1,2026-06-03 12:46:02.974607,
PRD_000146,SIZ_000332,Y,1,2026-06-03 12:46:02.974607,
PRD_000146,SIZ_000333,Y,1,2026-06-03 12:46:02.974607,
PRD_000146,SIZ_000334,Y,1,2026-06-03 12:46:02.974607,
PRD_000146,SIZ_000335,Y,1,2026-06-03 12:46:02.974607,
PRD_000147,SIZ_000011,Y,1,2026-06-03 12:46:02.974607,
PRD_000147,SIZ_000148,Y,1,2026-06-03 12:46:02.974607,
PRD_000147,SIZ_000330,Y,1,2026-06-03 12:46:02.974607,
PRD_000147,SIZ_000331,Y,1,2026-06-03 12:46:02.974607,
PRD_000147,SIZ_000333,Y,1,2026-06-03 12:46:02.974607,
PRD_000147,SIZ_000334,Y,1,2026-06-03 12:46:02.974607,
PRD_000147,SIZ_000336,Y,1,2026-06-03 12:46:02.974607,
PRD_000148,SIZ_000011,Y,1,2026-06-03 12:46:02.974607,
PRD_000148,SIZ_000330,Y,1,2026-06-03 12:46:02.974607,
PRD_000148,SIZ_000333,Y,1,2026-06-03 12:46:02.974607,
PRD_000149,SIZ_000011,Y,1,2026-06-03 12:46:02.974607,
PRD_000149,SIZ_000330,Y,1,2026-06-03 12:46:02.974607,
PRD_000149,SIZ_000333,Y,1,2026-06-03 12:46:02.974607,
PRD_000150,SIZ_000011,Y,1,2026-06-03 12:46:02.974607,
PRD_000150,SIZ_000148,Y,1,2026-06-03 12:46:02.974607,
PRD_000150,SIZ_000344,Y,1,2026-06-03 12:46:02.974607,
PRD_000151,SIZ_000011,Y,1,2026-06-03 12:46:02.974607,
PRD_000151,SIZ_000148,Y,1,2026-06-03 12:46:02.974607,
PRD_000151,SIZ_000344,Y,1,2026-06-03 12:46:02.974607,
PRD_000152,SIZ_000346,Y,1,2026-06-03 12:46:02.974607,
PRD_000152,SIZ_000348,Y,1,2026-06-03 12:46:02.974607,
PRD_000152,SIZ_000350,Y,1,2026-06-03 12:46:02.974607,
PRD_000153,SIZ_000346,Y,1,2026-06-03 12:46:02.974607,
PRD_000153,SIZ_000348,Y,1,2026-06-03 12:46:02.974607,
PRD_000153,SIZ_000350,Y,1,2026-06-03 12:46:02.974607,
PRD_000154,SIZ_000330,Y,1,2026-06-03 12:46:02.974607,
PRD_000154,SIZ_000333,Y,1,2026-06-03 12:46:02.974607,
PRD_000154,SIZ_000336,Y,1,2026-06-03 12:46:02.974607,
PRD_000155,SIZ_000330,Y,1,2026-06-03 12:46:02.974607,
PRD_000155,SIZ_000333,Y,1,2026-06-03 12:46:02.974607,
PRD_000155,SIZ_000336,Y,1,2026-06-03 12:46:02.974607,
PRD_000156,SIZ_000330,Y,1,2026-06-03 12:46:02.974607,
PRD_000156,SIZ_000336,Y,1,2026-06-03 12:46:02.974607,
PRD_000156,SIZ_000352,Y,1,2026-06-03 12:46:02.974607,
PRD_000156,SIZ_000353,Y,1,2026-06-03 12:46:02.974607,
PRD_000156,SIZ_000354,Y,1,2026-06-03 12:46:02.974607,
PRD_000157,SIZ_000012,Y,1,2026-06-03 12:46:02.974607,
