mat_cd,mat_nm,mat_typ_cd,upr_mat_cd
MAT_000217,사각검정 (100개),MAT_TYPE.10,
MAT_000218,행택끈,MAT_TYPE.10,
MAT_000219,사각백색 (100개),MAT_TYPE.10,
MAT_000220,사각마사 (100개),MAT_TYPE.10,
MAT_000221,자석고정용고무판,MAT_TYPE.10,
MAT_000222,120mm (4mm홈) 내추럴,MAT_TYPE.10,
MAT_000223,우드거치대,MAT_TYPE.10,
MAT_000224,270mm + 면끈,MAT_TYPE.10,
MAT_000225,우드봉,MAT_TYPE.10,
MAT_000226,360mm + 면끈,MAT_TYPE.10,
MAT_000227,480mm + 면끈,MAT_TYPE.10,
MAT_000228,230mm + 면끈,MAT_TYPE.10,
MAT_000229,우드행거,MAT_TYPE.10,
MAT_000230,320mm + 면끈,MAT_TYPE.10,
MAT_000231,440mm + 면끈,MAT_TYPE.10,
MAT_000232,청보라 (5cc),MAT_TYPE.10,
MAT_000233,만년스탬프 리필잉크,MAT_TYPE.10,
MAT_000234,빨강 (5cc),MAT_TYPE.10,
MAT_000235,검정 (5cc),MAT_TYPE.10,
MAT_000236,파랑 (5cc),MAT_TYPE.10,
MAT_000237,초록 (5cc),MAT_TYPE.10,
MAT_000238,핑크 (5cc),MAT_TYPE.10,
MAT_000239,노랑 (5cc),MAT_TYPE.10,
MAT_000240,스타드림(다이아) 240g,MAT_TYPE.01,
MAT_000241,스타드림(로츠쿼츠) 240g,MAT_TYPE.01,
MAT_000242,미색스티커,MAT_TYPE.01,
MAT_000243,투명전용지,MAT_TYPE.01,
MAT_000244,투명커버 유광투명커버,MAT_TYPE.02,MAT_000009
MAT_000245,투명커버 무광투명커버,MAT_TYPE.02,MAT_000009
MAT_000246,전용지,MAT_TYPE.01,
MAT_000247,D링 D링(31mm),MAT_TYPE.07,MAT_000017
MAT_000248,D링 D링(42mm),MAT_TYPE.07,MAT_000017
MAT_000249,D링 D링(56mm),MAT_TYPE.07,MAT_000017
MAT_000250,아트250+무광코팅,MAT_TYPE.01,
MAT_000251,그레이,MAT_TYPE.01,
MAT_000252,삼각대(그레이),MAT_TYPE.07,
MAT_000253,링 블랙,MAT_TYPE.07,MAT_000012
MAT_000254,삼각대(블랙),MAT_TYPE.07,
MAT_000255,화이트,MAT_TYPE.08,
MAT_000256,블랙,MAT_TYPE.08,
MAT_000257,홀로그램,MAT_TYPE.08,
MAT_000258,골드,MAT_TYPE.08,
MAT_000259,실버,MAT_TYPE.08,
MAT_000260,아트250 + 무광코팅,MAT_TYPE.01,
MAT_000261,무지내지,MAT_TYPE.01,
MAT_000262,무광 75mm,MAT_TYPE.09,
MAT_000263,원형 90mm,MAT_TYPE.09,
MAT_000264,사각 90mm,MAT_TYPE.09,
MAT_000265,사각 110mm,MAT_TYPE.09,
MAT_000266,원형 102mm,MAT_TYPE.09,
MAT_000267,사각 100mm,MAT_TYPE.09,
MAT_000268,11온스,MAT_TYPE.09,
MAT_000269,350ml,MAT_TYPE.09,
MAT_000270,500ml,MAT_TYPE.09,
MAT_000271,단면,MAT_TYPE.09,
MAT_000272,양면,MAT_TYPE.09,
MAT_000273,원형 58mm,MAT_TYPE.09,
MAT_000274,사각 57mm,MAT_TYPE.09,
MAT_000275,미니 50mm,MAT_TYPE.09,
MAT_000276,일반 100mm,MAT_TYPE.09,
MAT_000277,2구,MAT_TYPE.09,
MAT_000278,3구,MAT_TYPE.09,
MAT_000279,4구,MAT_TYPE.09,
MAT_000280,1구,MAT_TYPE.09,
MAT_000281,CD 커버 세트 (미조립),MAT_TYPE.09,
MAT_000282,화이트 M,MAT_TYPE.09,
MAT_000283,화이트 L,MAT_TYPE.09,
MAT_000284,화이트 XL,MAT_TYPE.09,
MAT_000285,화이트 XXL,MAT_TYPE.09,
MAT_000286,블랙 M,MAT_TYPE.09,
MAT_000287,블랙 L,MAT_TYPE.09,
MAT_000288,블랙 XL,MAT_TYPE.09,
MAT_000289,블랙 XXL,MAT_TYPE.09,
MAT_000290,양면 가로형,MAT_TYPE.09,
MAT_000291,양면 세로형,MAT_TYPE.09,
MAT_000292,멜란지 XL,MAT_TYPE.09,
MAT_000293,미니틴케이스,MAT_TYPE.09,
MAT_000294,2개1팩,MAT_TYPE.09,
MAT_000295,A5용,MAT_TYPE.09,
MAT_000296,A4용,MAT_TYPE.09,
MAT_000297,청보라,MAT_TYPE.09,
MAT_000298,빨강,MAT_TYPE.09,
MAT_000299,검정,MAT_TYPE.09,
MAT_000300,파랑,MAT_TYPE.09,
MAT_000301,초록,MAT_TYPE.09,
MAT_000302,핑크,MAT_TYPE.09,
MAT_000303,노랑,MAT_TYPE.09,
MAT_000304,원형,MAT_TYPE.09,
MAT_000305,사각,MAT_TYPE.09,
MAT_000306,꽃,MAT_TYPE.09,
MAT_000307,별,MAT_TYPE.09,
MAT_000308,하트,MAT_TYPE.09,
MAT_000309,양면인쇄,MAT_TYPE.09,
MAT_000310,핑크글리터,MAT_TYPE.09,
MAT_000311,전면만 인쇄,MAT_TYPE.09,
MAT_000312,화이트글리터,MAT_TYPE.09,
MAT_000313,배면만 인쇄,MAT_TYPE.09,
MAT_000314,블루글리터,MAT_TYPE.09,
MAT_000315,블랙글리터,MAT_TYPE.09,
MAT_000316,양면유광,MAT_TYPE.09,
MAT_000317,양면유광 M,MAT_TYPE.09,
MAT_000318,양면유광 L,MAT_TYPE.09,
MAT_000319,M,MAT_TYPE.09,
MAT_000320,L,MAT_TYPE.09,
MAT_000321,정사각M,MAT_TYPE.09,
MAT_000322,직사각M,MAT_TYPE.09,
MAT_000323,11인치,MAT_TYPE.09,
MAT_000324,13인치,MAT_TYPE.09,
MAT_000325,15인치,MAT_TYPE.09,
MAT_000326,S,MAT_TYPE.09,
MAT_000327,XL,MAT_TYPE.09,
MAT_000328,직사각L,MAT_TYPE.09,
MAT_000329,직사각,MAT_TYPE.09,
MAT_000330,정사각,MAT_TYPE.09,
MAT_000331,마카롱,MAT_TYPE.09,
MAT_000332,세로형,MAT_TYPE.09,
MAT_000333,가로형,MAT_TYPE.09,
MAT_000334,세로M,MAT_TYPE.09,
MAT_000335,블랙M,MAT_TYPE.09,
MAT_000336,가로L,MAT_TYPE.09,
