group,width_mm,height_mm,wxh,match_status,existing_siz_cd,products
POSTER,800,600,800x600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,800,800x800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,1000,800x1000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,1200,800x1200,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,1400,800x1400,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,1600,800x1600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,1800,800x1800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,2000,800x2000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,2200,800x2200,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,2400,800x2400,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,2600,800x2600,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,2800,800x2800,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,800,3000,800x3000,NONE,,레더아트프린트;린넨패브릭포스터;메쉬프린트;방수포스터;아트패브릭포스터;아트페이퍼포스터;아트프린트포스터;접착방수포스터;접착투명포스터;캔버스패브릭포스터;타이벡프린트
POSTER,900,600,900x600,NONE,,아트페이퍼포스터
POSTER,900,800,900x800,NONE,,아트페이퍼포스터
POSTER,900,900,900x900,EXACT,SIZ_000323,메쉬현수막;일반현수막
POSTER,900,1000,900x1000,NONE,,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,1200,900x1200,EXACT,SIZ_000320,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,1400,900x1400,NONE,,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,1600,900x1600,NONE,,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,1800,900x1800,NONE,,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,2000,900x2000,NONE,,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,2200,900x2200,NONE,,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,2400,900x2400,NONE,,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,2600,900x2600,NONE,,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,2800,900x2800,NONE,,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,3000,900x3000,NONE,,메쉬현수막;아트페이퍼포스터;일반현수막
POSTER,900,3500,900x3500,NONE,,메쉬현수막;일반현수막
POSTER,900,4000,900x4000,NONE,,메쉬현수막;일반현수막
