opt_nm,prod,cut,work_sheet,plate_cd,siz_cd,live_work,basis,pansu_auth,engine_pansu,decision
110x170mm- 2단세로접지,2단접지카드,220x170,224x174,SIZ_000499,SIZ_000025,224.00x174.00,OK,2,2,NOCHANGE
110x170mm- 2단세로접지,2단접지카드,220x170,224x174,SIZ_000499,SIZ_000526,224.00x174.00,OK,2,2,NOCHANGE
170x110mm- 2단가로접지,2단접지카드,170x220,174x224,SIZ_000499,SIZ_000129,174.00x224.00,OK,2,2,NOCHANGE
170x110mm- 2단가로접지,2단접지카드,170x220,174x224,SIZ_000499,SIZ_000026,174.00x224.00,OK,2,2,NOCHANGE
100x150 mm - 3단세로접지,3단접지카드,300x150,302x152,SIZ_000499,SIZ_000027,302.00x152.00,OK,3,3,NOCHANGE
150x100 mm - 3단가로접지,3단접지카드,150x300,152x302,SIZ_000499,SIZ_000028,152.00x302.00,OK,3,3,NOCHANGE
135x135mm - 3단세로접지,3단접지카드,403x135,407x139,SIZ_000499,SIZ_000029,407.00x139.00,OK,1,2,LOAD(2->1)
135x135mm - 3단가로접지,3단접지카드,135x403,139x407,SIZ_000499,SIZ_000030,139.00x407.00,OK,1,2,LOAD(2->1)
600 x 150 mm,지그재그카드,600x150,604x154,SIZ_000475,SIZ_000031,604.00x154.00,OK,2,2,NOCHANGE
150 x 600 mm,지그재그카드,150x600,154x604,SIZ_000475,SIZ_000032,154.00x604.00,OK,2,2,NOCHANGE
76 x 100 mm - 기본형,인쇄배경지,76x100,80x104,SIZ_000499,SIZ_000033,80.00x104.00,OK,12,12,NOCHANGE
76 x 100 mm - 커팅형,인쇄배경지,76x100,86x110,SIZ_000499,SIZ_000033,80.00x104.00,MISMATCH,9,12,HOLD_BASIS
76 x 120 mm - 기본형,인쇄배경지,76x120,80x124,SIZ_000499,SIZ_000034,80.00x124.00,OK,9,10,LOAD(10->9)
76 x 120 mm - 커팅형,인쇄배경지,76x120,86x130,SIZ_000499,SIZ_000034,80.00x124.00,MISMATCH,9,10,HOLD_BASIS
86 x 120 mm - 기본형,인쇄배경지,86x120,90x124,SIZ_000499,SIZ_000035,90.00x124.00,OK,9,10,LOAD(10->9)
86 x 120 mm - 커팅형,인쇄배경지,86x120,96x130,SIZ_000499,SIZ_000035,90.00x124.00,MISMATCH,9,10,HOLD_BASIS
94 x 94 mm - 기본형,인쇄배경지,94x94,98x98,SIZ_000499,SIZ_000036,98.00x98.00,OK,12,12,NOCHANGE
94 x 94 mm - 커팅형,인쇄배경지,94x94,104x104,SIZ_000499,SIZ_000036,98.00x98.00,MISMATCH,8,12,HOLD_BASIS
62 x 180 mm - 기본형,인쇄배경지,62x180,66x184,SIZ_000499,SIZ_000037,66.00x184.00,OK,8,8,NOCHANGE
62 x 180 mm - 커팅형,인쇄배경지,62x180,72x190,SIZ_000499,SIZ_000037,66.00x184.00,MISMATCH,8,8,HOLD_BASIS
105 x 160 mm - 기본형,인쇄배경지,105x160,109x164,SIZ_000499,SIZ_000038,109.00x164.00,OK,4,4,NOCHANGE
74 x 74 mm - 기본형,인쇄배경지,74x74,78x78,SIZ_000499,SIZ_000039,78.00x78.00,OK,24,15,LOAD(15->24)
74 x 74 mm - 접지형,인쇄배경지,74x148,78x152,SIZ_000499,SIZ_000040,78.00x152.00,OK,12,10,LOAD(10->12)
74 x 109 mm - 기본형,인쇄배경지,74x109,78x113,SIZ_000499,SIZ_000041,78.00x113.00,OK,16,12,LOAD(12->16)
74 x 109 mm - 상하접지형,인쇄배경지,74x218,78x222,SIZ_000499,SIZ_000042,78.00x222.00,OK,8,6,LOAD(6->8)
80 x 80mm,인쇄해더택,80x80,84x84,SIZ_000499,SIZ_000043,84.00x84.00,OK,15,15,NOCHANGE
110 x 80mm,인쇄해더택,110x80,114x84,SIZ_000499,SIZ_000044,114.00x84.00,OK,12,12,NOCHANGE
